collection,title,scielo_issn,publisher_name,current_status,subject_areas,mission
scl,Theoretical and Experimental Plant Physiology,2197-0025,['Sociedade Brasileira de Fisiologia Vegetal'],suspended,Agricultural Sciences,"{'es': 'Publicar artículos, revisiones e comunicaciones científicas en las varias áreas que componen la Fisiología Vegetal, con datos originales, en inglés', 'pt': 'Publicar artigos, revisões e comunicações científicas nas várias áreas que compõem a Fisiologia Vegetal, com dados originais, na língua inglesa.', 'en': 'To publish original scientific articles, reviews and communications in the various areas of the Plant Physiology, regarding to original data, in English.'}"
scl,Brazilian Journal of Botany,0100-8404,['Sociedade Botânica de São Paulo'],suspended,Biological Sciences,"{'es': 'Publicar resultados originales de investigación botânica.', 'pt': 'Publicar artigos originais de pesquisa científica em Botânica', 'en': 'To publish the results of original botanical research.'}"
scl,Computational & Applied Mathematics,1807-0302,['Sociedade Brasileira de Matemática Aplicada e Computacional'],suspended,Exact and Earth Sciences,"{'es': 'Publicar trabajos originales de constribuicíon científica, en el campo de la matemática aplicada y áreas afines.', 'pt': 'Publicar trabalhos originais de contribuição científica, no campo da matemática aplicada, computação e áreas correlatas.', 'en': 'To publish original papers of scientific value in the field of Computational , Applied Mathematics and similar areas.'}"
scl,Brazilian Journal of Physics,0103-9733,['Sociedade Brasileira de Física'],suspended,Exact and Earth Sciences,"{'es': 'La revista publica artículos y revisiones en el área de física', 'pt': 'A revista publica artigos originais e revisões na área de física', 'en': 'The journal publishes regular papers and reviews in physics'}"
scl,Scientiae Studia,1678-3166,"['Universidade de São Paulo, Departamento de Filosofia']",suspended,Human Sciences,"{'es': 'Dar visibilidad a la producción académica en las áreas de filosofía e historia de la ciencia sin descuidar las contribuciones de áreas afines, como la sociología de la ciencia y la tecnología, la historia de la técnica y la filosofía de la tecnología.', 'pt': 'Dar visibilidade à produção acadêmica nas áreas de filosofia e história da ciência sem descuidar das contribuições de áreas afins, como a sociologia da ciência e da tecnologia, a história da técnica e a filosofia da tecnologia.', 'en': 'To give visibility to academic production in the areas of philosophy and history of science without neglecting the contributions of related areas, such as the sociology of science and technology, the history of technical practices and the philosophy of technology.'}"
scl,Revista do Hospital das Clínicas,0041-8781,['Faculdade de Medicina / Universidade de São Paulo - FM/USP'],deceased,Health Sciences,"{'es': 'Publicar artículos sometidos a la evaluación por pares del área clínica e investigadores en medicina.', 'pt': 'Publicar artigos submetidos à avaliação por pares de interesse para clínicos e pesquisadores em medicina.', 'en': 'To publish peer-reviewed materials of interest to clinicians and researchers in medicine.'}"
scl,Revista Brasileira de Engenharia Biomédica,1517-3151,['SBEB - Sociedade Brasileira de Engenharia Biomédica'],deceased,Engineering,"{'es': 'Fomentar la investigación y desarrollos en el área de Ingeniería Biomédica por la publicación de artículos originales cuyo objeto básico de estudio es el campo de actuación profesional de la Ingeniería Biomédica y áreas relacionadas que implique la aplicación de la tecnología para la salud, tales como Física Médica e Informática en la Salud.', 'pt': 'Veicular e facilitar a comunicação de resultados de pesquisas e desenvolvimentos na área de Engenharia Biomédica e em áreas afins que envolvam a aplicação de tecnologias à saúde, tais como Física Médica e Informática em Saúde. Adicionalmente, esta Revista visa suprir a comunidade de profissionais da área com material didático e de atualização profissional, bem como servir como fórum para o estabelecimento de políticas de desenvolvimento e incorporação de Tecnologias em Saúde, nos setores público e privado.', 'en': 'To publish research articles in all fields of Biomedical Engineering. In addition, this journal aims at providing educational and professional update material, as well as serving as a forum of discussion for the public and private sectors on the establishment of development policies and incorporation of health technologies.'}"
scl,Arquivos Brasileiros de Endocrinologia & Metabologia,0004-2730,['Sociedade Brasileira de Endocrinologia e Metabologia'],deceased,Health Sciences,"{'es': 'Publicar, para la comunidad médico-científica nacional y internacional, contribuciones científicas clínicas y básicas en el área de Endocrinología y Metabología y otras ciencias relacionadas.', 'pt': 'Publicar e divulgar, para a comunidade médico-científica nacional e internacional, contribuições científicas clínicas e básicas na área de Endocrinologia e Metabologia e ciências afins.', 'en': 'To publish, for the national and international doctor-scientific community, clinical and basic scientific contributions in the area of Endocrinology and Metabology and similar sciences.'}"
scl,Brazilian Journal of Plant Physiology,1677-0420,['Brazilian Journal of Plant Physiology'],deceased,Biological Sciences,"{'es': 'Publicar trabajos científicos originales en las várias áreas de la Fisiología Vegetal, referentes a resultados de originales inéditos, en inglés.', 'pt': 'Publicar trabalhos científicos originais nas várias áreas da Fisiologia Vegetal, referentes a resultados de originais inéditos, na língua inglesa.', 'en': 'To publish original scientific articles in the various areas of the Plant Physiology, regarding to original data, in english language.'}"
scl,Revista Dental Press de Ortodontia e Ortopedia Facial,1415-5419,['Dental Press Editora'],deceased,Health Sciences,"{'es': 'Difundir avances científicos y tecnológicos de la Ortodoncia, que contribuyan significativamente para la comunidad de investigadores en niveles local, regional e internacional.', 'pt': 'Difundir os avanços científicos e tecnológicos da Ortodontia, que contribuam significativamente para a comunidade de pesquisadores em níveis local, regional e internacional.', 'en': 'To diffuse the scientific and technological advances of Orthodontics that significantly contribute for the community of researchers at local, regional and international levels.'}"
scl,Arquivos Internacionais de Otorrinolaringologia,1809-4872,['Fundação Otorrinolaringologia'],deceased,Health Sciences,"{'es': 'Publicar estudios científicos de alto nivel de La comunidad científica Nacional e Internacional en forma de artículos originales de investigación clínica y experimental , artículos de revisión sistemática y metanálisis , artículos de relatos de casos , artículos de opinión y cartas al editor, en el área de Otorrinolaringología y de sus áreas a fines.', 'pt': 'Publicar estudos científicos de alto nível da comunidade científica Nacional e Internacional na forma de artigos originais de pesquisa clínica e experimental, artigos de revisão sistemática de literatura e metanálises, artigos de relatos de caso, artigos de opinião e cartas ao editor, na área de Otorrinolaringologia e de suas áreas afins.', 'en': ""To publish scientific articles of high level from the International and National scientific comunity, in original articles of experimental and clinical researches, articles of systematic revision's literature and metanalysis, related cases articles, opinion articles and letters to the editor, in the Otorhinolaryngology area and others related.""}"
